municipio;_gama_camara;_mamografo_com_comando_simples;_mamografo_com_estereotaxia;_raio_x_ate_100_ma;_raio_x_de_100_a_500_ma;_raio_x_mais_de_500ma;_raio_x_dentario;_raio_x_com_fluoroscopia;_raio_x_para_densitometria_ossea;_raio_x_para_hemodinamica;_tomógrafo_computadorizado;_ressonancia_magnetica;_ultrassom_doppler_colorido;_ultrassom_ecografo;_ultrassom_convencional;_processadora_de_filme_exclusiva_para_mamografia;_mamografo_computadorizado;_pet_ct;_endoscopio_das_vias_respiratorias;_endoscopio_das_vias_urinarias;_endoscopio_digestivo;_equipamentos_para_optometria;_laparoscopio_video;_microscopio_cirurgico;_cadeira_oftalmologica;_coluna_oftalmologica;_refrator;_lensometro;_projetor_ou_tabela_de_optotipos;_retinoscopio;_oftalmoscopio;_ceratometro;_tonometro_de_aplanacao;_biomicroscopio_lampada_de_fenda;_campimetro;_eletrocardiografo;_eletroencefalografo;_bomba_balao_intra_aortico;_bomba_de_infusao;_berço_aquecido;_bilirrubinometro;_debitometro;_desfibrilador;_equipamento_de_fototerapia;_incubadora;_marcapasso_temporario;_monitor_de_ecg;_monitor_de_pressao_invasivo;_monitor_de_pressao_nao_invasivo;_reanimador_pulmonar_ambu;_respirador_ventilador;_aparelho_de_diatermia_por_ultrassom_ondas_curtas;_aparelho_de_eletroestimulacao;_bomba_de_infusao_de_hemoderivados;_equipamentos_de_aferese;_equipamento_de_circulacao_extracorporea;_equipamento_para_hemodialise;_forno_de_bier;total
"120038 Plácido de Castro";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;1;-;1;-;-;15;1;2;1;-;-;-;-;-;25
"120039 Porto Walter";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"120040 Rio Branco";2;4;1;3;10;9;8;1;4;1;10;5;17;8;10;1;-;-;2;2;7;13;4;10;15;15;5;2;17;4;17;3;3;14;2;32;1;1;280;32;3;-;72;28;36;6;156;6;148;196;123;23;20;-;2;1;77;1;1473
"120042 Rodrigues Alves";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;-;-;-;-;-;-;7;1;-;-;-;-;-;-;-;13
"120043 Santa Rosa do Purus";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;6
"120050 Sena Madureira";-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;2;1;-;-;-;-;4;1;3;2;-;-;-;-;-;19
"120045 Senador Guiomard";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;4;-;-;-;-;-;-;-;-;9
"120060 Tarauacá";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;-;2;-;1;-;-;7;1;1;-;-;-;-;-;-;18
"120070 Xapuri";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;5;2;-;-;-;-;-;-;-;9
"130002 Alvarães";-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;2;-;1;-;-;-;-;-;-;9
"130006 Amaturá";-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;7
"130020 Atalaia do Norte";-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;2;-;-;1;-;1;-;-;-;-;-;-;-;-;11
"130083 Caapiranga";-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;1;-;-;-;-;4;-;-;-;-;-;-;-;-;12
"130130 Codajás";-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;1;-;-;-;-;3;-;-;-;-;-;-;-;-;11
"130150 Envira";-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;6;-;-;-;-;-;-;-;-;12
"130165 Guajará";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;1;2;-;1;-;-;5;-;-;-;-;-;-;-;-;16
"130220 Juruá";-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;2;-;-;-;-;7;-;-;-;-;-;-;-;-;13
"130260 Manaus";10;18;6;27;55;15;60;6;14;5;32;19;72;45;54;22;3;-;24;6;58;27;37;42;74;69;50;55;63;29;64;24;52;70;18;145;17;8;2070;149;26;2;283;184;221;39;672;305;589;933;637;83;159;22;2;6;214;9;8000
"130280 Maraã";-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2;-;1;-;1;4;-;-;-;-;-;-;-;-;14
"130330 Novo Aripuanã";-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;1;-;-;-;1;4;-;-;-;-;-;-;-;-;13
"130360 Santa Isabel do Rio Negro";-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;6
"130370 Santo Antônio do Içá";-;1;-;-;1;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;1;-;1;-;-;6;-;1;-;-;-;-;-;-;17
"130400 Silves";-;1;-;-;1;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;1;1;-;-;-;-;2;-;-;-;-;-;-;-;-;13
"130406 Tabatinga";1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;4;-;-;1;-;-;-;1;-;1;3;1;1;2;-;-;-;-;1;21
"130440 Urucurituba";-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;7;-;-;-;-;-;-;-;-;12
"140005 Alto Alegre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;4
"140010 Boa Vista";1;1;1;1;8;2;5;-;2;1;4;2;4;-;5;2;-;-;1;-;5;-;2;3;1;1;1;1;-;-;7;1;-;1;-;15;1;1;611;28;-;-;46;21;40;3;160;4;211;81;78;10;8;-;1;-;-;1;1383
"140015 Bonfim";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"140017 Cantá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;7
"140020 Caracaraí";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;1;-;1;-;1;-;-;3;-;-;-;-;-;-;-;-;10
"140023 Caroebe";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"140030 Mucajaí";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;8
"140040 Normandia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;5
"140045 Pacaraima";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;3;-;-;-;-;4;-;-;-;11
"140047 Rorainópolis";-;-;-;-;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;2;-;2;-;-;-;-;11;3;-;-;-;-;-;-;-;27
"140050 São João da Baliza";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6;-;1;-;-;-;-;-;-;8
"140060 São Luiz";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;5
"150010 Abaetetuba";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;2;1;1;-;-;-;-;2;-;-;-;-;-;-;-;2;14
"150040 Alenquer";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;1;1;-;1;-;-;4;-;1;3;-;-;-;-;-;16
"150060 Altamira";-;1;-;1;2;-;-;1;1;-;1;1;2;1;-;1;-;-;1;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;9;1;-;50;4;1;-;11;2;4;1;1;26;15;30;30;4;4;-;-;-;21;2;232
"150080 Ananindeua";-;-;-;-;2;1;-;1;-;-;2;1;2;-;-;-;-;-;1;1;1;-;1;1;-;-;-;-;-;-;-;-;-;5;-;8;2;-;100;1;-;-;11;-;2;2;11;32;70;53;62;6;3;-;-;-;2;-;384
"150130 Barcarena";-;-;1;-;1;1;-;-;-;-;-;-;-;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;11;-;-;11;14;23;1;57;8;49;108;27;-;-;-;-;-;2;-;319
"150140 Belém";-;5;1;5;22;3;7;-;2;4;4;3;10;13;18;5;1;-;6;7;9;-;5;5;4;4;1;2;-;2;109;-;1;1;-;83;4;4;1388;74;3;-;136;130;138;10;424;45;330;191;260;7;17;-;-;5;115;3;3626
"150180 Breves";-;1;-;-;2;-;-;-;-;-;1;-;-;1;1;1;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;4;-;-;32;12;-;-;4;10;4;-;37;1;18;15;26;-;-;-;-;-;-;-;173
"150190 Bujaru";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"150220 Capanema";-;1;-;-;1;1;-;-;-;-;1;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;11;-;-;1;54;-;-;-;-;-;-;1;-;-;2;-;83
"150270 Conceição do Araguaia";-;-;-;2;1;-;1;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;4;-;-;4;4;5;-;-;-;-;4;5;-;-;-;-;-;-;-;36
"150330 Igarapé-Miri";-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;5;-;-;-;-;-;-;-;-;9
"150345 Ipixuna do Pará";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"150375 Jacareacanga";-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;6
"150390 Juruti";-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;2;-;-;-;-;1;-;15;-;-;-;7;-;-;-;-;-;-;-;35
"150420 Marabá";-;-;-;-;3;1;-;-;-;-;1;1;3;-;-;-;-;-;-;-;1;1;1;2;-;-;-;-;-;-;-;-;-;-;-;7;1;-;90;5;-;-;9;5;7;4;20;33;33;32;37;2;5;-;-;-;-;2;306
"150442 Marituba";-;1;-;2;1;-;-;-;-;-;1;-;1;1;-;1;-;-;-;1;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;2;1;-;14;2;2;-;3;3;5;-;15;3;12;12;13;-;-;-;-;-;25;-;124
"150550 Paragominas";-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;4;-;-;-;2;26;10;-;26;-;-;-;-;-;-;-;74
"150613 Redenção";-;1;-;1;1;-;-;1;1;-;1;-;2;-;-;1;-;-;1;1;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;7;1;-;50;6;1;-;12;6;5;4;35;10;35;49;31;9;4;1;-;-;34;2;317
"150620 Salinópolis";-;-;-;1;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;-;-;3;1;2;-;2;-;5;5;4;-;-;-;-;-;-;-;30
"150640 Santa Cruz do Arari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150680 Santarém";-;-;-;1;-;2;-;1;-;1;1;1;2;1;-;-;1;-;1;-;2;-;2;2;1;1;1;-;-;2;1;1;1;1;1;6;4;-;55;22;1;-;10;15;3;4;30;35;30;-;30;1;1;-;-;-;27;2;304
"150700 Santo Antônio do Tauá";-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;1;1;-;1;-;-;2;-;-;-;-;-;-;-;-;10
"150795 Tailândia";-;1;-;1;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;9;1;1;-;3;-;1;-;7;-;7;10;3;-;-;-;-;-;-;-;51
"150810 Tucuruí";-;1;-;1;1;-;-;-;-;-;1;1;2;1;1;1;-;-;1;1;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4;2;-;42;6;-;2;6;4;26;1;6;-;12;16;20;-;-;-;-;-;-;2;164
"160020 Calçoene";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"160023 Ferreira Gomes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"160027 Laranjal do Jari";-;-;-;-;1;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;7;1;-;-;1;1;3;-;1;-;1;6;2;-;-;-;-;-;-;-;29
"160030 Macapá";-;2;2;6;6;5;4;2;4;1;9;3;7;5;9;4;3;-;1;1;4;-;-;5;1;-;1;1;1;1;1;-;1;1;1;19;4;1;254;31;-;-;26;19;25;1;84;1;25;117;67;29;-;-;-;1;75;-;871
"160040 Mazagão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;5
"160050 Oiapoque";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;6
"160060 Santana";-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;30;9;-;-;1;12;2;-;-;-;8;13;8;-;-;-;-;-;-;-;88
"160005 Serra do Navio";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;7
"160070 Tartarugalzinho";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"160080 Vitória do Jari";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"170070 Alvorada";-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;-;-;-;-;-;-;2;-;2;6;1;-;-;-;-;-;-;-;17
"170200 Araguaçu";-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;1;-;2;-;8;6;-;-;-;-;-;-;-;-;22
"170210 Araguaína";-;2;1;6;6;3;3;-;-;1;4;1;6;2;2;2;-;-;3;2;8;-;2;6;1;1;1;1;-;1;1;-;-;1;1;13;2;-;219;23;7;1;26;7;31;3;69;5;46;180;66;3;7;-;1;2;23;2;804
"170230 Arapoema";-;-;-;-;2;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;1;2;4;9;-;-;-;-;-;-;-;-;23
"170240 Arraias";1;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;-;-;1;2;-;-;2;-;-;3;-;-;-;1;-;-;-;-;17
"170255 Augustinópolis";1;1;1;1;1;1;-;-;-;-;-;-;-;1;1;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;27;5;-;-;2;-;7;-;10;-;-;10;4;4;1;-;-;-;-;1;83
"170700 Dianópolis";-;1;-;-;3;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;7;1;-;-;1;1;1;-;2;-;2;10;1;-;3;-;-;-;-;-;38
